INFO 2025-03-19 22:29:24,651 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-19 22:29:24,800 autoreload File D:\MySQL\.venv\Lib\site-packages\django\template\library.py first seen with mtime 1742313111.7827325
DEBUG 2025-03-19 22:29:24,800 autoreload File D:\MySQL\.venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1742313109.338679
DEBUG 2025-03-19 22:29:24,802 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\trsock.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,803 autoreload File D:\MySQL\.venv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1742313109.3366497
DEBUG 2025-03-19 22:29:24,803 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\sysconfig\__init__.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,804 autoreload File D:\MySQL\.venv\Lib\site-packages\django\core\signals.py first seen with mtime 1742313111.6600852
DEBUG 2025-03-19 22:29:24,805 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1742313111.3339353
DEBUG 2025-03-19 22:29:24,805 autoreload File D:\MySQL\.venv\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1742313109.3366497
DEBUG 2025-03-19 22:29:24,806 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\selector_events.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,806 autoreload File D:\MySQL\.venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1742313109.3346412
DEBUG 2025-03-19 22:29:24,807 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\email\header.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,807 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1742313110.7297163
DEBUG 2025-03-19 22:29:24,808 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1742313111.7295668
DEBUG 2025-03-19 22:29:24,808 autoreload File D:\MySQL\.venv\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1742313111.7851422
DEBUG 2025-03-19 22:29:24,809 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\DLLs\_zoneinfo.pyd first seen with mtime 1733239692.0
DEBUG 2025-03-19 22:29:24,809 autoreload File D:\MySQL\.venv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1742313111.7827325
DEBUG 2025-03-19 22:29:24,810 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1742313111.8035636
DEBUG 2025-03-19 22:29:24,810 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1742313110.9242735
DEBUG 2025-03-19 22:29:24,811 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\encodings\aliases.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,811 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1742313110.8269064
DEBUG 2025-03-19 22:29:24,811 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\html.py first seen with mtime 1742313111.799156
DEBUG 2025-03-19 22:29:24,812 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1742313111.799156
DEBUG 2025-03-19 22:29:24,812 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\runners.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,812 autoreload File D:\MySQL\.venv\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1742313111.664607
DEBUG 2025-03-19 22:29:24,812 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\base64.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,812 autoreload File D:\MySQL\.venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1742313110.3457887
DEBUG 2025-03-19 22:29:24,813 autoreload File D:\MySQL\.venv\Lib\site-packages\django\http\response.py first seen with mtime 1742313111.7757616
DEBUG 2025-03-19 22:29:24,813 autoreload File D:\MySQL\.venv\Lib\site-packages\crispy_forms\templatetags\crispy_forms_field.py first seen with mtime 1742313125.803793
DEBUG 2025-03-19 22:29:24,813 autoreload File D:\MySQL\.venv\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1742313111.787903
DEBUG 2025-03-19 22:29:24,813 autoreload File D:\MySQL\.venv\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1742313109.338679
DEBUG 2025-03-19 22:29:24,813 autoreload File D:\MySQL\.venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1742313111.6600852
DEBUG 2025-03-19 22:29:24,813 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\sslproto.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,814 autoreload File D:\MySQL\.venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1742313111.8132606
DEBUG 2025-03-19 22:29:24,814 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1742313111.4869025
DEBUG 2025-03-19 22:29:24,814 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1742313110.8269064
DEBUG 2025-03-19 22:29:24,814 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\locks.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,815 autoreload File D:\MySQL\.venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1742313111.7757616
DEBUG 2025-03-19 22:29:24,815 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\warnings.py first seen with mtime 1733239650.0
DEBUG 2025-03-19 22:29:24,815 autoreload File D:\MySQL\.venv\Lib\site-packages\MySQLdb\converters.py first seen with mtime 1742314828.8169422
DEBUG 2025-03-19 22:29:24,816 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\choices.py first seen with mtime 1742313111.7966447
DEBUG 2025-03-19 22:29:24,816 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\coroutines.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,816 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\importlib\__init__.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,816 autoreload File D:\MySQL\.venv\Lib\site-packages\django\middleware\clickjacking.py first seen with mtime 1742313111.7757616
DEBUG 2025-03-19 22:29:24,816 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1742313110.9242735
DEBUG 2025-03-19 22:29:24,817 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\email\quoprimime.py first seen with mtime 1733239648.0
